,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,3mb_e,EX_3mb_e,19.459851840017944,0.0,19.45985184001794,uptake,2.2895597816520317,0.0,12.90187312213071,uptake
1,LalaLglu_e,EX_LalaLglu_e,91.01236703313523,0.0,999.9999999999947,uptake,54.11432147335342,0.0,714.5234217425232,uptake
2,acald_e,EX_acald_e,113.2078784530978,-1000.0,999.9999999999995,uptake,0.0,-1000.0,1000.0,secretion
3,adn_e,EX_adn_e,8.824230411139517,0.0,19.22160636979463,uptake,8.563476495684329,0.0,74.3737955127827,uptake
4,asp__L_e,EX_asp__L_e,57.50247547125936,-1000.0,1000.0,uptake,0.0,0.0,200.0000000000019,secretion
5,ca2_e,EX_ca2_e,0.22482033162488993,0.20233829846240114,0.22482033162488999,uptake,0.1490557799589601,0.1341502019630642,0.14905577995896033,uptake
6,cgly_e,EX_cgly_e,3.9901397531557556,3.5911257778403485,1000.0,uptake,2.639074823803639,0.0,113.61797875594259,uptake
7,cl_e,EX_cl_e,0.22482033162488993,0.20233829846240114,0.22482033162489024,uptake,0.1490557799589601,0.1341502019630642,0.14905577995896024,uptake
8,cobalt2_e,EX_cobalt2_e,0.004319314728624209,0.003887383255761989,0.0043193147286242186,uptake,0.002863703745609226,0.002577333371048305,0.0028637037456092267,uptake
9,cu2_e,EX_cu2_e,0.030623941425945628,0.02756154728335109,0.030623941425945683,uptake,0.0203036595563694,0.018273293600732474,0.020303659556369365,uptake
10,fe3_e,EX_fe3_e,0.6272940780361868,0.30352688460993704,1000.0,uptake,0.2235979884571684,0.2012381896114448,1000.0,uptake
11,glyc3p_e,EX_glyc3p_e,941.7804750906417,559.0271172625704,1000.0,uptake,964.2402726767161,695.5971478455408,1000.0,uptake
12,k_e,EX_k_e,8.430999998243463,7.587899998419124,8.430999998243465,uptake,5.589749252167024,5.030774326950325,5.589749252167033,uptake
13,mg2_e,EX_mg2_e,0.37470055270815,0.33723049743733535,0.37470055270815084,uptake,0.24842629993160026,0.22358366993844042,0.24842629993160037,uptake
14,mn2_e,EX_mn2_e,0.02984646477479331,0.026861818297314002,0.029846464774793375,uptake,0.019788192882159765,0.017809373593943804,0.019788192882159772,uptake
15,no3_e,EX_no3_e,287.80734575873595,0.0,574.3791445804449,uptake,0.0,0.0,540.8442691199092,secretion
16,o2_e,EX_o2_e,550.713694530363,-0.004816035923522809,1000.0,uptake,449.58320689186377,0.04834433070754492,1000.0,uptake
17,pro__L_e,EX_pro__L_e,9.548061173360255,0.0,9.548061173360251,uptake,6.330360314856481,-197.81464037468183,6.330360314856492,uptake
18,thymd_e,EX_thymd_e,1.1301918918918128,0.0,1.1301918918918135,uptake,0.7493167220761116,0.0,0.7493167220761119,uptake
19,uri_e,EX_uri_e,13.15356594993203,0.0,14.288015442116304,uptake,0.0,0.0,9.471214570424026,secretion
20,val__L_e,EX_val__L_e,18.277698591940766,-983.5276799397008,37.762429684795585,uptake,0.0,0.0,0.0,secretion
21,zn2_e,EX_zn2_e,0.01472886322460854,0.0132559769021477,0.014728863224608573,uptake,0.009765229772527452,0.008788706795274713,0.009765229772527455,uptake
22,14glucan_e,EX_14glucan_e,0.0,0.0,52.746068305717245,secretion,0.0,0.0,27.894921517083855,secretion
23,4abut_e,EX_4abut_e,0.0,-1000.0,0.0,secretion,0.0,-1000.0,0.0,secretion
24,4hphac_e,EX_4hphac_e,0.0,0.0,500.0024080179612,secretion,0.0,0.0,499.97582783464657,secretion
25,ac_e,EX_ac_e,-1000.0,-1000.0,-700.0000000000039,secretion,0.0,0.0,0.0,secretion
26,acac_e,EX_acac_e,0.0,0.0,1000.0000000000003,secretion,0.0,0.0,529.2794650040114,secretion
27,ala__D_e,EX_ala__D_e,0.0,-992.2252334884764,1000.0000000000002,secretion,0.0,-1000.0,1000.0,secretion
28,ala__L_e,EX_ala__L_e,-42.09524227194368,-1000.0,1000.0,secretion,0.0,-1000.0,1000.0,secretion
29,arab__L_e,EX_arab__L_e,0.0,-1000.0,369.22247814001923,secretion,19.507979470649346,-1000.0000000000006,1000.0,uptake
30,but_e,EX_but_e,0.0,0.0,299.99999999999835,secretion,0.0,0.0,0.0,secretion
31,cell6_e,EX_cell6_e,0.0,0.0,52.74606830571823,secretion,0.0,0.0,27.894921517084654,secretion
32,chol_e,EX_chol_e,0.0,0.0,299.99999999999756,secretion,0.0,-40.089443777308105,0.0,secretion
33,co2_e,EX_co2_e,-1000.0,-1000.0,-166.98324856005672,secretion,-163.97899836992937,-1000.0,43.87875270208946,secretion
34,cytd_e,EX_cytd_e,0.0,-473.53372150919625,14.28801544211697,secretion,8.723672083211941,0.0,9.471214570424053,uptake
35,dad_2_e,EX_dad_2_e,0.0,0.0,19.01835632785296,secretion,0.0,0.0,56.843718024671254,secretion
36,dca_e,EX_dca_e,0.0,0.0,42.85714285714278,secretion,0.0,0.0,21.818181818181788,secretion
37,dcyt_e,EX_dcyt_e,0.0,0.0,14.22562267462059,secretion,0.0,0.0,0.7491763794788803,secretion
38,ddca_e,EX_ddca_e,0.0,0.0,42.857142857142776,secretion,0.0,0.0,24.48979591836733,secretion
39,duri_e,EX_duri_e,0.0,0.0,14.2256226746206,secretion,0.0,0.0,0.7491763794788802,secretion
40,enlipa_e,EX_enlipa_e,0.0,-7.142857142857161,0.0,secretion,0.0,-3.9215686274513106,0.0,secretion
41,enter_e,EX_enter_e,0.0,-149.99999999999983,0.0,secretion,0.0,-0.19226073521922366,0.0,secretion
42,etha_e,EX_etha_e,0.0,-27.272727272727074,0.0,secretion,0.0,-25.000000000000195,0.0,secretion
43,etoh_e,EX_etoh_e,0.0,-1000.0000000000003,1000.0,secretion,-4.227428106306036,-1000.0000000000001,999.9999999999982,secretion
44,fe2_e,EX_fe2_e,0.0,-1000.0,0.29004198402711506,secretion,0.19229770651765954,-999.7987618103888,0.19229770651696654,uptake
45,feenter_e,EX_feenter_e,0.0,0.0,149.9999999999992,secretion,0.0,0.0,0.19226073521922396,secretion
46,for_e,EX_for_e,0.0,0.0,0.0,secretion,0.0,0.0,215.46169351292602,secretion
47,gal_e,EX_gal_e,0.0,-1000.0,11.999999999999787,secretion,0.0,0.0,99.99999999999972,secretion
48,galt_e,EX_galt_e,0.0,0.0,184.6112390700094,secretion,0.0,0.0,116.12123312256675,secretion
49,glc__D_e,EX_glc__D_e,0.0,-1000.0,368.41032379557583,secretion,0.0,-1000.0,181.31698986104507,secretion
50,glcur_e,EX_glcur_e,0.0,-73.84449562800413,0.0,secretion,0.0,-104.905680230123,0.0,secretion
51,gln__L_e,EX_gln__L_e,0.0,0.0,1000.0,secretion,0.0,0.0,1000.0,secretion
52,glu__L_e,EX_glu__L_e,0.0,0.0,1000.0,secretion,0.0,-999.9999999999993,999.9999999999993,secretion
53,glucan4_e,EX_glucan4_e,0.0,0.0,73.84449562800422,secretion,0.0,0.0,40.29266441356685,secretion
54,glucan6_e,EX_glucan6_e,0.0,0.0,52.74606830571736,secretion,0.0,0.0,27.894921517084725,secretion
55,glyc_e,EX_glyc_e,0.0,-1000.0,1000.0,secretion,-0.002863703745609226,-25.00257733337199,-0.002577333371048305,secretion
56,glyclt_e,EX_glyclt_e,-0.03852828737628466,-473.56839696783425,-0.026006593981046322,secretion,0.002863703745609226,-35.90770491878288,0.0028637037456094028,uptake
57,gua_e,EX_gua_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
58,h2_e,EX_h2_e,0.0,-1000.0,1000.0,secretion,0.0,0.0,0.0,secretion
59,h2o_e,EX_h2o_e,-627.1341002190318,-1000.0,1000.0,secretion,-289.2004236782943,-1000.0,1000.0,secretion
60,h2s_e,EX_h2s_e,0.0,-1000.0,51.57586742422102,secretion,4.531725266314222,-107.22016103565232,7.156634918839937,uptake
61,h_e,EX_h_e,-405.60950651607845,-1000.0,579.475285039504,secretion,-760.4986762064044,-1000.0,1000.0,secretion
62,hdca_e,EX_hdca_e,0.0,0.0,42.85714285714296,secretion,0.0,0.0,50.000000000000846,secretion
63,hdcea_e,EX_hdcea_e,0.0,0.0,42.85714285714299,secretion,0.0,0.0,50.00000000000013,secretion
64,hxan_e,EX_hxan_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
65,ile__L_e,EX_ile__L_e,0.0,0.0,0.0,secretion,0.0,0.0,0.0,secretion
66,kdo2lipid4_e,EX_kdo2lipid4_e,0.0,-9.677419354838895,0.0,secretion,0.0,-5.128205128205078,0.0,secretion
